Date,Team,Opponent,Team Score,Opponent Score,Location,Team Margin,Team Result,Team Location,Team Avg Scoring Margin,Opponent Average Scoring Margin
3/7/13,Coppin St,Bethune-Cookman,69,61,Coppin St,8,Win,Home,-8.37,-3.48
3/7/13,Bethune-Cookman,Coppin St,61,69,Coppin St,-8,Loss,Away,-3.48,-8.37
3/7/13,CS Northridge,Hawaii,88,75,CS Northridge,13,Win,Home,-1.97,1.21
3/7/13,Hawaii,CS Northridge,75,88,CS Northridge,-13,Loss,Away,1.21,-1.97
3/7/13,Denver,UT Arlington,84,55,Denver,29,Win,Home,10.21,1.55
3/7/13,UT Arlington,Denver,55,84,Denver,-29,Loss,Away,1.55,10.21
3/7/13,Florida St,Virginia,53,51,Florida St,2,Win,Home,-1.00,9.81
3/7/13,Virginia,Florida St,51,53,Florida St,-2,Loss,Away,9.81,-1.00
3/7/13,Georgia,Kentucky,72,62,Georgia,10,Win,Home,-0.65,9.26
3/7/13,Kentucky,Georgia,62,72,Georgia,-10,Loss,Away,9.26,-0.65
3/7/13,NC Central,Hampton,68,64,Hampton,4,Win,Away,5.48,-1.47
3/7/13,Hampton,NC Central,64,68,Hampton,-4,Loss,Home,-1.47,5.48
3/7/13,E Washington,Idaho St,87,73,Idaho St,14,Win,Away,-5.29,-8.14
3/7/13,Idaho St,E Washington,73,87,Idaho St,-14,Loss,Home,-8.14,-5.29
3/7/13,Butler,Massachusetts,73,62,Massachusetts,11,Win,Away,5.20,1.86
3/7/13,Massachusetts,Butler,62,73,Massachusetts,-11,Loss,Home,1.86,5.20
3/7/13,Michigan St,Wisconsin,58,43,Michigan St,15,Win,Home,8.67,10.10
3/7/13,Wisconsin,Michigan St,43,58,Michigan St,-15,Loss,Away,10.10,8.67
3/7/13,Montana,CS Sacramento,63,52,Montana,11,Win,Home,4.56,-2.63
3/7/13,CS Sacramento,Montana,52,63,Montana,-11,Loss,Away,-2.63,4.56
3/7/13,Montana St,Northern Arizona,83,79,Montana St,4,Win,Home,-3.89,-7.90
3/7/13,Northern Arizona,Montana St,79,83,Montana St,-4,Loss,Away,-7.90,-3.89
3/7/13,Morgan St,Florida A&M,78,67,Morgan St,11,Win,Home,1.71,-9.89
3/7/13,Florida A&M,Morgan St,67,78,Morgan St,-11,Loss,Away,-9.89,1.71
3/7/13,N Colorado,Southern Utah,66,58,N Colorado,8,Win,Home,-2.59,-6.68
3/7/13,Southern Utah,N Colorado,58,66,N Colorado,-8,Loss,Away,-6.68,-2.59
3/7/13,New Mexico St,Louisiana Tech,78,60,New Mexico St,18,Win,Home,4.53,8.70
3/7/13,Louisiana Tech,New Mexico St,60,78,New Mexico St,-18,Loss,Away,8.70,4.53
3/7/13,Nicholls St,Lamar,90,63,Nicholls St,27,Win,Home,-5.66,-17.29
