Rank,Value,Player,Yr,Ht,Wt,Gms,Team
26,10.542,Gene Teague,Sr,9-Jun,270,24,Seton Hall
27,10.111,Todd Mayo,Jr,3-Jun,195,27,Marquette
28,9.931,Ryan Arcidiacono,So,3-Jun,195,29,Villanova
29,9.13,Patrik Auda,Jr,9-Jun,235,23,Seton Hall
30,9,Rysheed Jordan,Fr,4-Jun,185,27,St. John's
31,8.609,Jabril Trawick,Jr,5-Jun,210,23,Georgetown
32,8.429,Isaiah Philmore,Sr,8-Jun,230,28,Xavier
33,7.966,Jake Thomas,Sr,3-Jun,205,29,Marquette
34,7.931,Brandon Mobley,Jr,9-Jun,215,29,Seton Hall
35,7.889,Kameron Woods,Jr,9-Jun,200,27,Butler
36,7.828,Tommy Hamilton Jr.,Fr,10-Jun,284,29,DePaul
37,7.724,Josh Hart,Fr,5-Jun,202,29,Villanova
38,7.667,Dee Davis,Jr,Jun-00,161,27,Xavier
39,7.655,Phil Greene IV,Jr,2-Jun,189,29,St. John's
39,7.655,Josh Fortune,So,5-Jun,205,29,Providence
41,7.481,Devin Brooks,Jr,2-Jun,175,27,Creighton
42,7.393,Jahenns Manigat,Sr,1-Jun,180,28,Creighton
43,7.379,Orlando Sanchez,Sr,9-Jun,232,29,St. John's
44,7.286,Austin Chatman,Jr,Jun-00,180,28,Creighton
45,7.091,Grant Gibbs,Sr,5-Jun,210,22,Creighton
46,6.704,Elijah Brown,Fr,4-Jun,185,27,Butler
47,6.536,Mikael Hopkins,Jr,9-Jun,223,28,Georgetown
48,6.467,Sir`Dominic Pointer,Jr,5-Jun,196,30,St. John's
49,6.448,Jaren Sina,Fr,2-Jun,180,29,Seton Hall
50,6.286,Andrew Chrabascz,Fr,7-Jun,225,28,Butler
51,6.214,Alex Barlow,Jr,11-May,187,28,Butler
52,6.179,Will Artino,Jr,11-Jun,230,28,Creighton
53,6.034,Myles Davis,Fr,2-Jun,195,29,Xavier
54,5.931,Chris Otule,Sr,11-Jun,275,29,Marquette
54,5.931,Daniel Ochefu,So,11-Jun,245,29,Villanova
56,5.92,Dylan Ennis,So,2-Jun,192,25,Villanova
57,5.7,Durrell McDonald,So,1-Jun,169,30,DePaul
58,5.607,Erik Fromm,Sr,8-Jun,223,28,Butler
59,5.5,Derrick Wilson,Jr,1-Jun,215,28,Marquette
60,5.464,Aaron Bowen,Sr,6-Jun,208,28,Georgetown
61,5.393,Nate Lubick,Sr,8-Jun,219,28,Georgetown
62,5.31,James Farr,So,9-Jun,237,29,Xavier
63,5.3,Sandi Marcius,Sr,10-Jun,255,30,DePaul
Rank,Value,Player,Yr,Ht,Wt,Gms,Team
1,21.759,Tyler Harvey,So,4-Jun,180,29,Eastern Washington
2,19.692,Kareem Jamar,Sr,5-Jun,210,26,Montana
3,19.429,Troy Huff,Sr,5-Jun,174,28,North Dakota
4,19.115,Davion Berry,Sr,4-Jun,185,26,Weber State
5,16.741,Chris Hansen,Jr,4-Jun,220,27,Idaho State
6,16.481,Mikh McKinney,Jr,1-Jun,165,27,Sacramento State
7,16.31,Quinton Upshur,Jr,5-Jun,207,29,Northern Arizona
